episodes,steps,x,y,distance,reward,yaw,steering,throttle,waypoint,total
491,0,1.99,0.59,0.01,1.5,0,0,0,0,1.5
491,1,2.01,0.6,0.02,1.5,0,-0.8,0.4,1,3
491,2,2.03,0.6,0.02,1.5,0,0,0.8,1,4.5
491,3,2.06,0.6,0.02,1.5,0.01,0.4,0.8,1,6
491,4,2.1,0.6,0.02,1.5,0,-0.8,1.6,1,7.5
491,5,2.14,0.59,0.01,1.5,-0.01,0,0.4,1,9
491,6,2.16,0.59,0.01,1.5,-0.02,0,0.4,1,10.5
491,7,2.17,0.59,0.01,1.5,-0.02,-0.4,0.4,1,12
491,8,2.21,0.58,0,1.5,-0.04,0,1.6,1,13.5
491,9,2.24,0.58,0,1.5,-0.05,0.4,0.4,1,15
491,10,2.28,0.58,0,1.5,-0.04,0.4,1.6,1,16.5
491,11,2.31,0.58,0,1.5,-0.02,-0.4,0.8,1,18
491,12,2.35,0.58,0,1.5,-0.02,0,1.6,1,19.5
491,13,2.39,0.58,0,1.5,-0.02,0,0.4,1,21
491,14,2.4,0.58,0,1.5,-0.02,0,0.4,1,22.5
491,15,2.43,0.58,0,1.5,-0.02,-0.8,0.8,1,24
491,16,2.46,0.57,0.01,1.5,-0.04,-0.8,0.8,1,25.5
491,17,2.47,0.57,0.01,1.5,-0.06,0.8,0.4,1,27
491,18,2.5,0.57,0.01,1.5,-0.07,0.4,0.8,1,28.5
491,19,2.53,0.56,0.02,1.5,-0.07,0,0.8,1,30
491,20,2.54,0.56,0.02,1.5,-0.08,-0.4,0.4,1,31.5
491,21,2.57,0.56,0.02,1.5,-0.09,0,1.6,1,33
491,22,2.61,0.55,0.03,1.5,-0.09,0.8,0.4,1,34.5
491,23,2.63,0.55,0.03,1.5,-0.07,0.8,0.4,1,36
491,24,2.66,0.57,0.01,1.5,-0.03,0.8,1.6,1,37.5
491,25,2.7,0.58,0,1.5,0.01,0,0.8,1,39
491,26,2.74,0.59,0.01,1.5,0.05,-0.4,1.6,1,40.5
491,27,2.78,0.6,0.02,1.5,0.07,0,0.4,1,42
491,28,2.81,0.61,0.03,1.5,0.09,0.4,1.6,1,43.5
491,29,2.85,0.62,0.04,1.5,0.12,-0.4,0.8,1,45
491,30,2.88,0.62,0.04,1.5,0.11,-0.8,0.8,1,46.5
491,31,2.89,0.62,0.04,1.5,0.11,0,0.4,1,48
491,32,2.91,0.62,0.04,1.5,0.1,-0.8,0.4,1,49.5
491,33,2.93,0.61,0.03,1.5,0.07,0,0.8,1,51
491,34,2.95,0.61,0.03,1.5,0.06,0.4,0.4,1,52.5
491,35,2.96,0.61,0.03,1.5,0.07,0.8,0.4,1,54
491,36,2.99,0.62,0.04,1.5,0.07,-0.4,0.8,1,55.5
491,37,3,0.62,0.04,1.5,0.07,-0.8,0.4,1,57
491,38,3.02,0.62,0.04,1.5,0.06,-0.4,0.4,2,58.5
491,39,3.05,0.62,0.04,1.5,0.05,0.4,1.6,2,60
491,40,3.09,0.62,0.04,1.5,0.04,0,0.8,2,61.5
491,41,3.14,0.61,0.03,1.5,0.02,-0.4,1.6,2,63
491,42,3.17,0.61,0.03,1.5,0,0,0.4,2,64.5
491,43,3.2,0.61,0.03,1.5,0,0.8,0.8,2,66
491,44,3.23,0.61,0.03,1.5,0.01,-0.4,0.8,2,67.5
491,45,3.24,0.61,0.03,1.5,0,-0.8,0.4,2,69
491,46,3.27,0.6,0.02,1.5,-0.02,-0.8,0.8,2,70.5
491,47,3.3,0.58,0,1.5,-0.08,-0.8,1.6,2,72
491,48,3.34,0.56,0.02,1.5,-0.15,-0.4,0.4,2,73.5
491,49,3.36,0.55,0.03,1.5,-0.18,0.4,0.8,2,75
491,50,3.39,0.54,0.04,1.5,-0.21,-0.4,0.8,2,76.5
491,51,3.43,0.52,0.06,1,-0.24,0.8,1.6,2,77.5
491,52,3.47,0.51,0.07,1,-0.23,0.8,0.8,2,78.5
491,53,3.5,0.51,0.07,1,-0.21,0.4,0.8,2,79.5
491,54,3.51,0.51,0.07,1,-0.2,0,0.4,2,80.5
491,55,3.53,0.51,0.07,1,-0.19,0.8,0.4,2,81.5
491,56,3.56,0.52,0.06,1,-0.15,0,1.6,2,82.5
491,57,3.62,0.52,0.06,1,-0.1,0.8,1.6,2,83.5
491,58,3.66,0.54,0.04,1.5,-0.06,0.4,0.4,2,85
491,59,3.67,0.54,0.04,1.5,-0.03,0.8,0.4,2,86.5
491,60,3.69,0.55,0.03,1.5,0.01,-0.4,0.8,2,88
491,61,3.71,0.56,0.02,1.5,0.03,0.4,0.4,2,89.5
491,62,3.72,0.56,0.02,1.5,0.05,0.8,0.4,2,91
491,63,3.76,0.58,0,1.5,0.09,-0.8,1.6,2,92.5
491,64,3.8,0.59,0.01,1.5,0.13,0.4,0.8,2,94
491,65,3.84,0.61,0.03,1.5,0.17,0.4,1.6,2,95.5
491,66,3.87,0.62,0.04,1.5,0.21,0.4,0.4,2,97
491,67,3.89,0.63,0.05,1,0.22,-0.4,0.8,2,98
491,68,3.9,0.64,0.06,1,0.23,0.4,0.4,2,99
491,69,3.92,0.64,0.06,1,0.24,-0.4,0.4,2,100
491,70,3.95,0.65,0.07,1,0.22,-0.8,1.6,2,101
491,71,3.99,0.65,0.07,1,0.19,-0.8,0.8,2,102
491,72,4.02,0.64,0.06,1,0.15,-0.8,0.8,3,103
491,73,4.04,0.64,0.06,1,0.11,-0.8,0.4,3,104
491,74,4.06,0.63,0.05,1,0.08,-0.4,0.4,3,105
491,75,4.08,0.62,0.04,1.5,0.02,-0.8,0.8,3,106.5
491,76,4.1,0.61,0.03,1.5,-0.02,0,0.4,3,108
491,77,4.11,0.6,0.02,1.5,-0.04,-0.8,0.4,3,109.5
491,78,4.13,0.59,0.01,1.5,-0.08,0.8,0.8,3,111
491,79,4.16,0.58,0,1.5,-0.1,0.4,0.8,3,112.5
491,80,4.19,0.58,0,1.5,-0.1,0.8,0.8,3,114
491,81,4.22,0.58,0,1.5,-0.09,0.4,0.8,3,115.5
491,82,4.24,0.58,0,1.5,-0.07,0.8,0.8,3,117
491,83,4.26,0.58,0,1.5,-0.05,-0.8,0.4,3,118.5
491,84,4.27,0.58,0,1.5,-0.05,0,0.4,3,120
491,85,4.29,0.58,0,1.5,-0.05,-0.8,0.4,3,121.5
491,86,4.3,0.58,0,1.5,-0.06,0,0.4,3,123
491,87,4.34,0.57,0.01,1.5,-0.08,-0.4,1.6,3,124.5
491,88,4.39,0.56,0.02,1.5,-0.11,-0.4,1.6,3,126
491,89,4.43,0.54,0.04,1.5,-0.14,0.4,0.8,3,127.5
491,90,4.45,0.54,0.04,1.5,-0.14,0.4,0.4,3,129
491,91,4.47,0.54,0.04,1.5,-0.14,-0.4,0.8,3,130.5
491,92,4.49,0.53,0.05,1,-0.15,-0.4,0.4,3,131.5
491,93,4.5,0.53,0.05,1,-0.15,0.4,0.4,3,132.5
491,94,4.52,0.53,0.05,1,-0.15,0.4,0.4,3,133.5
491,95,4.55,0.53,0.05,1,-0.13,0.8,1.6,3,134.5
491,96,4.58,0.53,0.05,1,-0.1,-0.4,0.8,3,135.5
491,97,4.63,0.54,0.04,1.5,-0.06,0.8,1.6,3,137
491,98,4.66,0.55,0.03,1.5,-0.02,0,0.4,3,138.5
491,99,4.69,0.55,0.03,1.5,-0.01,-0.4,1.6,3,140
