,x,y
0,3.024999800809031,0.9572829571429029
1,3.883499794884372,0.9572829571429029
2,4.741999788959713,0.9572829571429029
3,5.600499783035055,0.9572829571429029
4,6.458999777110396,0.9572829571429029
5,7.317499771185737,0.9572829571429029
6,7.48562749132185,0.96830248787826
7,7.639573131551231,0.9989243344701642
8,7.78820630541415,1.0493783762951097
9,7.928982207033157,1.1188011728499199
10,8.059492456310409,1.2060050543949217
11,8.177501918385218,1.3094977670724148
12,8.280995599995805,1.4275085856535554
13,8.36819880328764,1.5580183020176044
14,8.437620921589286,1.6987939129566847
15,8.488076368367217,1.847426553906402
16,8.518697367142664,2.001373259962186
17,8.529717237004604,2.169499817378586
18,8.529717237004604,2.9865002294104954
19,8.518697367142664,3.154626689933586
20,8.488076368367217,3.30857339598937
21,8.437620921589286,3.457206569852289
22,8.36819880328764,3.5979824714712976
23,8.280995599995805,3.728491364242217
24,8.177501918385218,3.8465021828233574
25,8.059492456310407,3.9499958644339452
26,7.928982207033158,4.03719906772578
27,7.788206305414148,4.106621186027426
28,7.639573131551231,4.15707450115255
29,7.48562749132185,4.18769666264771
20,7.317499771185737,4.198717695229362
31,6.458999777110396,4.198717695229362
32,5.600499783035055,4.198717695229362
33,4.741999788959713,4.198717695229362
34,3.883499794884372,4.198717695229362
35,3.0249998008090326,4.198717695229362
36,2.1664998067336896,4.198717695229362
37,1.9983732493172894,4.18769666264771
38,1.8444265432615055,4.15707450115255
39,1.695793902311788,4.106621186027425
30,1.5550182913727078,4.03719906772578
41,1.4245085750086588,3.9499958644339443
42,1.3064977564275182,3.8465021828233574
43,1.2030050921966797,3.728491364242217
44,1.115801162205024,3.5979824714712976
45,1.0463784140968677,3.457206569852289
46,0.9959243238252675,3.30857339598937
47,0.9653024772333634,3.154626689933586
48,0.9542829464980063,2.9865002294104954
49,0.9542829464980063,2.169499817378586
40,0.9542829464980063,2.169499817378586
51,0.9653024772333634,2.001373259962186
52,0.9959243238252675,1.847426553906402
53,1.0463784140968677,1.6987939129566847
54,1.115801162205024,1.5580183020176044
55,1.2030050921966797,1.4275085856535554
56,1.3064977564275182,1.3094977670724148
57,1.4245085750086588,1.2060050543949217
58,1.5550182913727078,1.1188011728499205
59,1.6957939023117883,1.0493783762951097
60,1.8444265432615055,0.9989243344701642
61,1.9983732493172894,0.96830248787826
62,2.1664998067336896,0.9572829571429029
63,3.024999800809031,0.9572829571429029
